"ID","","","","","","","",""
"fcdde272-e17a-4787-896a-17b05ba603ab","Digital Credentials","Technical skills","IT Security, Cyber Security, Enterprise Architecture","Demonstrated ability to provide technical advice on establishing and integrating verifiable digital credentials into the flow of digital products and services, using approaches that show awareness of technical considerations and modern standards.","Informations d'identification numériques","Compétences techniques","Sécurité informatique, Cybersécurité, Architecture intégrée","Capacité démontrée à fournir des conseils techniques sur l’établissement et l’intégration de justificatifs d’identité numériques vérifiables dans le flux de produits et de services numériques, en utilisant des approches qui montrent une connaissance des considérations techniques et des normes modernes."
"98b2f107-96aa-4fc3-99a2-350f19c493f4","Federation","Technical skills","IT Security, Cyber Security, Enterprise Architecture","Demonstrated ability to provide expert advice and establish systems of identity and authentication in the context of networked systems, while respecting security considerations, localized environment constraints, and international best practices.","Fédération","Compétences techniques","Sécurité informatique, Cybersécurité, Architecture intégrée","Capacité démontrée à fournir des conseils d'expert et à établir des systèmes d'identité et d'authentification dans le contexte de systèmes en réseau, tout en respectant les considérations de sécurité, les contraintes de l'environnement localisé et les meilleures pratiques internationales."
"d4963999-1d0d-4b8a-a28f-52825a03dacb","TypeScript","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to draw on concrete knowledge of this language to advance JavaScript-based products.","TypeScript","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à s’appuyer sur une connaissance concrète de ce langage pour faire progresser les produits basés sur JavaScript."
"78914961-f6fd-4f81-9d77-66e7452e4ce6","Web Development Languages and Tools","Technical skills","Software Solutions - Web Development","Demonstrated ability to comfortably use core web development languages and have familiarity with additional frameworks and database languages, as needed. This may include languages such as HTML, CSS, Javascript or PHP.","Langages et outils de développement Web","Compétences techniques","Solutions logicielles - développement web","Capacité démontrée à utiliser confortablement les principaux langages de développement Web et à se familiariser avec d’autres frameworks et langages de base de données, au besoin. Cela peut inclure des langages tels que HTML, CSS, Javascript ou PHP."
"dbf9b050-9421-4218-8bc9-3ab0f3c91a81","Workload Management","Behavioural skills","Personal Behaviours","Demonstrated ability to manage workload in an environment of changing priorities and deadlines.","Gestion de la charge de travail","Compétences comportementales","Comportements personnels","Capacité démontrée de gérer la charge de travail dans un environnement de priorités changeantes et de délais prescrits."
"484b0175-191d-48b6-9107-a4ea60d51b80","Bug Identification and Bug Fixing","Technical skills","Software Solutions - Quality Assurance, Software Solutions - Web Development, Software Solutions - Application Development","Demonstrated ability to test for, accurately identify, and communicate technical problems or broken functionality in digital software, and the ability to implement corrective action, including further testing, ensuring that the bug is fixed and the problem and solution are documented.","Identification et correction des bogues","Compétences techniques","Solutions logicielles - assurance qualité, Solutions logicielles - développement web, Solutions logicielles - développement d'applications","Capacité démontrée à tester, identifier avec précision et communiquer les problèmes techniques ou les fonctionnalités défectueuses des logiciels numériques, et la capacité de mettre en œuvre des mesures correctives, y compris des tests supplémentaires, en veillant à ce que le bogue soit corrigé et que le problème et la solution soient documentés."
"217e5aaa-7462-44cf-b246-0683ff297604","Respect for Diversity","Behavioural skills","Interpersonal Behaviours","Demonstrated ability to appreciate the unique qualities and views that people from different backgrounds bring to a team, organization or project.","Respect de la diversité","Compétences comportementales","Comportements interpersonnels","Capacité démontrée à apprécier les qualités et les points de vue uniques que des personnes d'horizons différents apportent à une équipe, une organisation ou un projet."
"f935458c-c383-4e61-b388-dcf38bb8294c","Web Content Development","Technical skills","Software Solutions - Web Development","Demonstrated ability to develop web content, including transforming requirements into site structure, visual elements, copy and features, as well as testing components and ensuring quality.","Développement de contenu Web","Compétences techniques","Solutions logicielles - développement web","Capacité démontrée à développer du contenu Web, y compris la transformation des exigences en structure de site, éléments visuels, copie et fonctionnalités, ainsi qu’à tester les composants et à assurer la qualité."
"5dfd5822-1966-4476-a205-c72b6444822b","Client Services","Technical skills","IT Infrastructure Operations, Software Solutions - Quality Assurance, Access to Information and Privacy, Software Solutions - Web Development, Financial Management","Demonstrated ability to interact respectfully with clients, adhere to established client services procedures, identify issues, and effectively resolve client concerns.","Services à la clientèle","Compétences techniques","Opérations d'infrastructure informatique, Solutions logicielles - assurance qualité, Accès à l’information et de la protection des renseignements personnels, Solutions logicielles - développement web, Gestion financière","Capacité manifeste à interagir respectueusement avec les clients, à respecter les procédures établies en matière de services à la clientèle, à cerner les problèmes et à résoudre efficacement les préoccupations des clients."
"c989f023-fd37-43e3-ac6c-f66bcb1113b4","Public Key Infrastructure","Technical skills","IT Security, Cyber Security, Enterprise Architecture","Demonstrated ability to work with (and provide technical advice on) infrastructure, policies, and procedures needed to support digital certificates and public keys throughout their lifecycle, including creation, use, distribution, storage, access, management, revocation, and dissolution.","Infrastructure à clé publique","Compétences techniques","Sécurité informatique, Cybersécurité, Architecture intégrée","Capacité démontrée à travailler avec (et à fournir des conseils techniques sur) l'infrastructure, les politiques et les procédures nécessaires pour prendre en charge les certificats numériques et les clés publiques tout au long de leur cycle de vie, y compris la création, l'utilisation, la distribution, le stockage, l'accès, la gestion, la révocation et la dissolution."
